Sr.No ,Questions ,Answers ,Department ,Sub-Department ,Remarks ,Status
1,What is a trade date?,"In finance, the trade date is the day a financial transaction, like buying or selling stock, is agreed upon and executed. It's the starting point for the settlement process, which involves transferring ownership of the security and payment, and is crucial for tracking transactions and calculating performance.",Equity,Settlement,,
2,What is the settlement period?,"The settlement period is T+1, meaning the transaction is settled on the next business day after the trade date.",Equity,Settlement,,
3,What interest rate charge for Delay payment?,The interest rate charged for delayed payments is 21% per annum (p.a.).,Equity,Settlement,,
4,What does T+1 mean?,T+1 means the settlement of stocks occurs one business day after the trade date.,Equity,Settlement,,
5,What is Margin Funding?,"Margin funding, also known as margin trading, is a facility offered by brokers that allows traders to borrow funds to purchase securities, effectively leveraging their investment power. This means you can buy more shares than you can afford with your own capital, using the borrowed funds as part of the purchase. The securities you buy act as collateral for the loan.",Equity,Settlement,,
6,What interest rate charge for MTF?,The interest rate charged for MTF is 21% per annum (p.a.).,Equity,Settlement,,
7,How much yearly Account Maintenance Charges?,"Yearly Plan : A basic plan where you pay ₹200 + GST annually from the second year onwards > Lifetime Plan : A one-time payment of ₹1500 + GST that covers AMC for the duration of your account, according to Choiceindia.com > Refundable AMC : A one-time payment of ₹3000 + GST that is refunded when you close your Demat account with Choice Broking, according to Choiceindia.com",Equity,DP,,
8,What are the DP charges for selling stocks from a demat account?,"When selling stocks, DP charges of ₹10 + 18% GST per scrip per order are levied.",Equity,DP,,
9,What is Pledge Shares?,Pledging of shares is a facility where you can pledge your existing shares with the broker to receive margin funds for trading or investing in the stock market.,Equity,DP,,
10,How can I check the haircut percentage for pledged stocks?,"Log in to the application > Navigate to the ""Pledge Shares"" or ""Shares As Margin"" > Find the specific stock you want to check > Look for a section that displays the haircut percentage or the margin available after the haircut is applied.",Equity,DP,,
11,What is POA (Power of Attorney) or DDPI (Demat Delivery Instruction Slip)?,"A Power of Attorney (POA) is a legal document that grants authority to someone else (like a broker) to act on your behalf, specifically for your demat account. A Demat Debit and Pledge Instruction (DDPI), on the other hand, is a more specific form of authorization designed for debiting securities from your demat account for settlement or pledging, as per a SEBI circular.",Equity,DP,,
12,How can I sell stocks if POA or DDPI is not active?,"If Power of Attorney (POA) or Demat Debit and Pledge Instruction (DDPI) are not active, you can still sell stocks using the CDSL TPIN and OTP for authorization. You'll need to manually authorize the sale of your shares for each delivery sale transaction using your TPIN and OTP, which will be sent to your registered email and phone number.",Equity,DP,,
13,How long does it take to receive early paying benefits if stocks are sold from a demat account?,"If you sell stocks from your demat account, 100% of the proceeds will be credited to your trading account within 30 minutes of the sale. These funds can then be used for further trading. You can also withdraw the full amount after 10 AM on the next trading day (T+1).",Equity,DP,,
14,"Are early paying benefits available for BTST (Buy Today, Sell Tomorrow) trades?","No, early pay-in benefits are not available for BTST trades, as shares are not yet credited to the demat account before selling.",Equity,DP,,
15,What is TPIN in a Demat Account?,The TPIN (Transaction Personal Identification Number) is a 6-digit numeric password provided by CDSL that enables demat account holders to authorize stockbrokers to debit shares and other securities from their accounts.,Equity,DP,,
16,What is a contract note?,"A contract note is a legal document issued by a broker after a trade is executed. It provides details of the transaction, including price, quantity, brokerage charges, and applicable taxes.",Equity,EDP,,
17,How can I download my contract note?,Log into Choice FinX > Navigate to Statements > Locate Contract Note > Select Date Range > Download Report,Equity,EDP,,
18,What is an electronic contract note?,"An Electronic Contract Note (ECN) is a digital version of a contract note, a document that confirms trades executed on a particular day for a client by a stockbroker. It's usually sent via email to the investor and provides a summary of the trades, including details like the instrument traded, quantity, price, and applicable charges.",Equity,EDP,,
19,What are the brokerage charges for Equity intraday trades?,"For Equity Intraday trades with Choice FinX, the brokerage charge is 0.02% of the trade value. Additionally, there will be Securities Transaction Tax (STT) at 0.025% on the sell side, transaction charges (NSE/BSE), and Goods and Services Tax (GST) at 18% on the brokerage and transaction charges.",Equity,EDP,,
20,What are the brokerage charges for Equity delivery trades?,Brokerage charges for Equity Delivery trades are 0.2% per trade.,Equity,EDP,,
